logFC;AveExpr;t;P.Value;adj.P.Val;B
RBBP6;2.87874698735676;6.65610952417731;13.5370488672323;1.61939968627622e-19;5.62318938888915e-17;34.1508535284482
TIPARP;3.66288093764737;6.6980055835849;13.5288790133178;1.66293470253426e-19;5.65150127735739e-17;34.1224357454447
IFIT2;6.81183931563797;5.82353811475695;13.4767916943662;1.96977225872869e-19;6.55482756014028e-17;33.8925762114634
KLF6;2.64387528028928;7.81206260016172;13.3365480193445;3.11295253718455e-19;1.01475899747855e-16;33.502250218973
TNFAIP3;5.11223941254888;6.93603019779358;13.2806301535368;3.73874465283757e-19;1.19437936679549e-16;33.3217791926715
JUN;2.99940161228106;7.68824267767712;13.253895870609;4.08151798133796e-19;1.25373243684445e-16;33.2309758145805
SP110;3.63413825175447;5.01719725135708;13.2575039130511;4.0334621788167e-19;1.25373243684445e-16;33.1485112538459
IFIT3;6.01691501033367;5.89615448444515;13.0803835730243;7.22840252387533e-19;2.17847685875209e-16;32.6340046442774
CLK1;3.42937730579026;6.32948124542255;13.0682866899996;7.52333366415614e-19;2.22537423365863e-16;32.6226406987114
ZNF674-AS1;3.14669774038546;2.12381280763314;13.0273656375089;8.61435770098055e-19;2.4628027799311e-16;32.3652097335243
ABL2;2.51308346070641;6.14868943265731;12.9792583457385;1.01037642775927e-18;2.74558266976884e-16;32.342068915286
RBPJ;2.8603784016098;5.63823228444346;12.9781363811725;1.01414497912954e-18;2.74558266976884e-16;32.3391953978839
AKR1B10;-2.99970500358631;8.1197727784931;-12.9569883980788;1.08790030887257e-18;2.89617193893694e-16;32.2311925673079
GRHL1;4.82125751725307;3.189320413007;13.0266646629755;8.6343802464247e-19;2.4628027799311e-16;32.2076424872986
POU2F2;3.04973486634788;2.50797531919596;12.8511175246297;1.54738554603169e-18;4.05186710274822e-16;31.9070549600306
FBXW7;2.08562084481746;4.67003251520152;12.8215220821514;1.70798140102183e-18;4.40025595460026e-16;31.8203053223571
BATF2;5.48393693288054;2.45589558958035;12.988164264775;9.80960605343346e-19;2.74558266976884e-16;31.7118913265733
USP18;3.58331539493032;3.90927069717312;12.7718368343268;2.01645421363417e-18;5.11251161180613e-16;31.5318949779008
NFKB1;3.13570470043623;6.22685210955562;12.6951364829651;2.6071712053125e-18;6.4068224096087e-16;31.406827599153
WTAP;2.61462587909079;6.41427690661809;12.6679307139644;2.8564492016077e-18;6.91303986322422e-16;31.3088623299855
ZNF555;3.83793757978583;2.34902025797721;12.6957013317272;2.60223567920236e-18;6.4068224096087e-16;31.2436701194239
BCL2L13;1.40123433551892;6.4896773436981;12.6182379708105;3.37573687246074e-18;7.92950662703169e-16;31.1441156857551
EEF1A1;-1.77866688287388;12.0321698568418;-12.6275011397914;3.27216844369268e-18;7.80094724643332e-16;31.1218487271324
HELZ2;4.17918250830027;6.07758980091184;12.5951841368804;3.64812438484101e-18;8.44514359406745e-16;31.0677439892438
VAMP2;2.67068480674163;5.23206043168486;12.4755877231743;5.46230873893242e-18;1.22886559840799e-15;30.6743463749636
CELF1;2.12985865615066;7.09614714505057;12.4377934203111;6.20785490998713e-18;1.37719536773923e-15;30.5416538429524
TRANK1;3.05738368125073;4.81391299641922;12.428441289384;6.40771770491715e-18;1.38311452568435e-15;30.5175726466372
PPP4R4;5.43914840963549;1.22475084925861;12.5269015363513;4.59263431149208e-18;1.0479735408209e-15;30.4973686790733
IER3;4.14038943307497;8.23079878620292;12.4293680774985;6.38762437255652e-18;1.38311452568435e-15;30.4939527736668
RSRC2;3.06728567145748;6.66024652522092;12.3851274263997;7.42170890563213e-18;1.58062608466216e-15;30.3536239188739
SERPINH1;-2.37778251204741;7.53704102750922;-12.3581334116641;8.13426700884363e-18;1.70958745963499e-15;30.2724307410921
MED26;2.6562312191083;3.61782801912853;12.3121390975151;9.51153376844512e-18;1.94328965272373e-15;30.0959306599577
G6PD;-3.10547343121878;8.50027876323634;-12.3090764668389;9.61121157986445e-18;1.94328965272373e-15;30.0925009640081
CXCL2;5.23791460516297;5.84158763755381;12.300778612648;9.88661762096723e-18;1.97398679074637e-15;30.090140820051
USP43;3.54625260491225;3.88529690880928;12.2083212541747;1.35524639381613e-17;2.67251242573148e-15;29.7143965213945
PGD;-1.80218776700868;9.08369922698054;-12.1730998865819;1.52869754722512e-17;2.97779096607644e-15;29.613108306703
THEMIS2;5.57105428785867;2.31558186804406;12.3358179867337;8.77531879150915e-18;1.82036580593215e-15;29.4836925423169
ANXA1;-1.81276196995756;10.3714074501155;-12.0517106470699;2.31798000942443e-17;4.46085478199233e-15;29.1878102648319
FILIP1L;3.33419786254819;2.15015221709648;11.9958152485177;2.80950711321342e-17;5.34241156182833e-15;29.0203911998415
NSRP1;2.10813827227304;5.85008075666629;11.9833145549818;2.93313882859582e-17;5.511885471666e-15;28.9973073697861
EPC1;2.4251743101248;4.99808092152963;11.9722456160355;3.04719486583963e-17;5.65963297582051e-15;28.9758777977944
ZNF436;3.03845960599355;4.38396876714033;11.961411799606;3.16316944166478e-17;5.80750637835766e-15;28.9431349304157
ZNF12;2.87167901741178;4.8424209123206;11.9212818758419;3.6330229936306e-17;6.59434957696154e-15;28.7915072979148
CPLX2;-2.93405268260756;4.09370948804542;-11.840029625218;4.81191909674035e-17;8.6360431159813e-15;28.5174521939883
GLG1;-1.69029810272734;7.53071125099183;-11.816161083197;5.22685594530104e-17;9.27650777936595e-15;28.428264386717
LINC00641;3.28806604584194;3.86699692683739;11.7936093184315;5.65209835597518e-17;9.92098538901007e-15;28.368991615568
PRPS1;-2.11887756939251;5.87263886244193;-11.7791594223319;5.94278334887762e-17;1.03178346121328e-14;28.3190798918614
CWC25;1.67279355977588;5.49061877186705;11.7648973054132;6.24450856327889e-17;1.07251113205649e-14;28.2646612541667
NFKBIZ;3.98568219802493;6.03459995923235;11.7548175838362;6.46704641831379e-17;1.08734876252343e-14;28.227381257088
ZCCHC3;1.68422860911526;5.17908847522204;11.7387267006976;6.83903010516045e-17;1.137914873643e-14;28.1563459781625
CYTH1;1.67620410228971;6.13089372717826;11.6847206455888;8.25311631364503e-17;1.35904151420466e-14;27.9831283215055
OASL;7.50242144675952;3.95599609355853;11.7606633988711;6.33702566742911e-17;1.07682245729623e-14;27.9677873216833
KLF11;2.72461934024943;3.89902536778918;11.6595288966228;9.01045332017204e-17;1.46022153997321e-14;27.9107326497003
ARRDC3;3.79818025837672;6.17925080877393;11.6582604139807;9.05039331730719e-17;1.46022153997321e-14;27.8458534686732
ZFP36;3.39072306591729;6.64041748225343;11.638378081687;9.70031711656504e-17;1.54943165302893e-14;27.8157196631217
TRIM21;2.02285890178819;5.696467164463;11.5829747355727;1.17713556359504e-16;1.86162241161421e-14;27.6474621934344
MED9;1.8728415129299;4.2043705447242;11.5709995060735;1.22747730899374e-16;1.92220539770167e-14;27.606087954266
FLCN;2.31239974518338;5.33876638381111;11.5663989940423;1.24739047066159e-16;1.93442407649297e-14;27.5810562894885
RBM48;2.26033781517602;3.59456947285288;11.472135910526;1.73562730489748e-16;2.64239914066466e-14;27.2640170364941
MDM4;2.25149470861889;4.55017819172143;11.4719097546934;1.73700563306699e-16;2.64239914066466e-14;27.2631773376433
ATP6AP1;-1.71638898953792;6.96378146234847;-11.4482685074942;1.88736238271876e-16;2.81746162048288e-14;27.1680690150232
MX1;5.33921105691562;5.16970078610897;11.4352907460645;1.97542182280149e-16;2.89836427092139e-14;27.1138990231186
SERTAD3;2.23230608223649;5.65181113415353;11.43494147491;1.97784827853522e-16;2.89836427092139e-14;27.1093772590565
IRF7;4.81166793365726;4.37002502482096;11.4603450481952;1.80898182543973e-16;2.72593082054235e-14;27.0903401515192
DHCR24;-2.02135330451724;7.97554884037439;-11.4121259669939;2.14305217017047e-16;3.11190657401208e-14;27.0479863673109
NDUFA10;-1.61889060512274;6.67043367327128;-11.2943132025955;3.2462407352946e-16;4.67136966350095e-14;26.6388593254466
CRTC2;2.25544686562164;5.55395519145863;11.248390886189;3.81838799577384e-16;5.44563495147282e-14;26.4709179094071
MDH1;-1.66030577838642;7.31005518427286;-11.2416773548103;3.91017334543961e-16;5.52718573864663e-14;26.4204091575322
ETS2;2.46592593743463;7.12703376170917;11.2048541489147;4.45472535205158e-16;6.24169544283508e-14;26.311712730132
EIF1B;2.05470830601393;5.24691976487673;11.188651456961;4.71801690338326e-16;6.55312034762964e-14;26.2724005839009
FRS2;2.97211811522686;5.0428770534558;11.1304307396043;5.80076851574529e-16;7.98755823293099e-14;26.0508210958928
BTG1;2.66050703445483;7.30214715528505;11.1098171095684;6.24161475328702e-16;8.52113781660287e-14;25.936299120608
MB21D2;2.61494612488118;3.70374917857474;11.0653939090978;7.3101806008353e-16;9.89538260484256e-14;25.8262362811387
ZNF121;3.16429278911921;2.94096680088299;11.0624959316924;7.38599345880029e-16;9.91398937121151e-14;25.8207818425447
ZBTB21;3.10379219003303;4.75366088051287;10.9933151205383;9.45162114101268e-16;1.24769210318509e-13;25.5687298708497
IP6K2;1.43460198840301;6.27746809022268;10.9794758983734;9.93026023961146e-16;1.30013153120749e-13;25.5054951367147
REC8;3.00499400148154;2.59796725616505;11.0295543779411;8.30565199550855e-16;1.10555149436882e-13;25.5048870896594
BCL3;2.50740006492777;5.78137621365155;10.8787225319711;1.42382003307628e-15;1.84899816165264e-13;25.1673215352263
MAP1LC3B;1.82384539084998;6.94069937337655;10.8621911658543;1.51071552936367e-15;1.94602089923596e-13;25.0788364671598
DDOST;-1.66963632707743;8.00908317399496;-10.8320026118051;1.68345419527347e-15;2.15118510888825e-13;24.9708609011412
TRAP1;-2.07295843313123;7.09538193870025;-10.8166495127046;1.77881905315354e-15;2.24617529336493e-13;24.9613691507456
KCMF1;1.26048669659963;6.59762096621724;10.8073912067212;1.83894322023646e-15;2.29480000444039e-13;24.8816984453683
BCL10;2.53220606227416;4.97187099374081;10.7844590342525;1.99685084028029e-15;2.47253476525558e-13;24.8411854161747
PARP10;4.4215893355603;3.66769505714991;10.8155404721564;1.78591537129747e-15;2.24617529336493e-13;24.8012370126063
BHLHE40;2.54783930515078;8.62957974627956;10.73921112342;2.34972853066852e-15;2.88709337079756e-13;24.5949915828072
PRDX1;-2.25455749072586;9.64510849667714;-10.7157749793607;2.55660394686782e-15;3.11730036971906e-13;24.5241586173704
CTDSP2;2.03759209822285;6.46617519509465;10.6790575296752;2.91831893279657e-15;3.53138699345149e-13;24.4664325757081
RLF;3.50563070812658;5.18246380623564;10.6739554058194;2.9725139792803e-15;3.56992223992814e-13;24.4223043850267
VPS37B;1.77922852500773;5.92536960796194;10.6352663759016;3.41793032718085e-15;4.0361565293541e-13;24.3085771727047
DDIT3;3.14378209892769;4.805993018108;10.6314913900462;3.46484645426627e-15;4.0361565293541e-13;24.2914603945812
HLA-F;3.5178050869635;3.68861293401831;10.6253313013156;3.54280449384312e-15;4.04208687001116e-13;24.2731325723686
PSMB5;-2.07662661611909;7.36815952930461;-10.6291564390792;3.49419029489129e-15;4.0361565293541e-13;24.2642406606243
IRF1;3.01206785157463;6.04523257877729;10.6277222641768;3.51233805534477e-15;4.0361565293541e-13;24.2631611636158
CYB5B;-1.77195814229386;7.81959142850583;-10.6317258401264;3.46191383846378e-15;4.0361565293541e-13;24.2505062288479
LAMP1;-1.48416407408765;7.64809856753432;-10.6186883091745;3.62885862063699e-15;4.11090487570458e-13;24.2251873766103
APMAP;-1.93348056977541;7.22693721514463;-10.593429776679;3.97576804469021e-15;4.47217908294625e-13;24.1369574218871
GLB1;-1.55714383102328;6.55915353119566;-10.5799491520483;4.17442009196551e-15;4.6304175089559e-13;24.1033289189881
ZNF337;1.39049997906286;5.28195129587473;10.5853357600575;4.09386834735995e-15;4.57282231555108e-13;24.096272787888
CCDC174;1.99480137848975;4.48695280441329;10.5716750596965;4.30127754193015e-15;4.73822801222416e-13;24.0844428496774
EGR2;6.07007621755147;-0.764264447910468;10.6654232615686;3.06542185590739e-15;3.65402860480662e-13;23.9956149764452
ATP1A1;-1.56508503503861;8.18384527142929;-10.5546078953977;4.57537229881089e-15;5.00564532389769e-13;23.9891799192375
