logFC;AveExpr;t;P.Value;adj.P.Val;B
ZBP1;6.16413569406657;-0.993092628415455;14.0282801350518;3.3374167853559e-20;2.31776340489086e-17;34.8996035552169
IFIT5;2.83518324744248;5.39063097161475;13.7517761241725;8.08858509694049e-20;4.96919114436271e-17;34.8041708402567
CMPK2;4.70924263068483;2.38046460535757;13.6010758611562;1.31580444590133e-19;7.78420163495625e-17;34.3158173881562
PIM1;1.84078292878998;5.72075815752491;13.5784882693873;1.41570636167154e-19;8.07609918392125e-17;34.2721303686705
IRF1;3.48234097860085;6.04523257877729;13.4941948126779;1.86135070756006e-19;1.02521913282265e-16;34.0136217551709
APOL6;3.17081379523995;5.20718471387935;13.4739779844521;1.98789260037618e-19;1.05842028352696e-16;33.9430139551471
SP100;2.40295551271507;6.74049985214619;13.4512181886263;2.14080845522961e-19;1.10306882114137e-16;33.8777836228114
CFLAR;1.53300948282958;7.44795567078058;13.4138001259447;2.41854254743696e-19;1.20723062844408e-16;33.7562897378222
IRF7;3.20950549492038;4.37002502482096;13.3710441854638;2.78088019262572e-19;1.34603028232759e-16;33.6157739491749
TRANK1;3.28237904250367;4.81391299641922;13.3340230495095;3.13878069484724e-19;1.47458070702338e-16;33.4344515548135
EGR1;2.44084058784398;4.6956034846628;13.2367531007514;4.31788262959099e-19;1.9705582640702e-16;33.1785396999169
SLFN5;2.90934892635712;6.15387553399532;13.0769910393538;7.30991464217598e-19;3.24336851609658e-16;32.6634742078942
UBE2L6;2.48941907315283;5.99370719899026;12.9676435662241;1.05008491497037e-18;4.41394903863728e-16;32.3056032145774
IL6;6.00570889565942;2.13211674434916;12.9956286134973;9.56974468766734e-19;4.13128464584082e-16;32.2878498383533
NLRC5;3.89634996181269;3.96608232271395;12.9331276617866;1.17765778597218e-18;4.82326354239326e-16;32.0618506322939
MX1;3.83222660342431;5.16970078610897;12.6670950470934;2.86447662730387e-18;1.14385712919812e-15;31.3116635002683
HELZ2;3.14987888192735;6.07758980091184;12.6315350796992;3.22807639005042e-18;1.25761132142135e-15;31.1920289493125
CTH;2.44741255555611;2.06369225157393;12.5890464652732;3.72431954866372e-18;1.4163941940668e-15;31.0273920644809
ZC3HAV1;2.39938299153393;7.40960328296909;12.551374152816;4.22858017299511e-18;1.570770025657e-15;30.9276336239567
IFIT1;4.48922220430048;5.94936131085521;12.4855918971935;5.280577128074e-18;1.91696951060741e-15;30.7078811381358
PPP1R15A;3.85654048045221;7.71277306254656;12.4122815105333;6.76852790297569e-18;2.35029774335284e-15;30.4564007748547
CLDN2;-3.64155006931893;3.13835134250333;-12.4124188667921;6.76537606872779e-18;2.35029774335284e-15;30.3975672591841
PLAT;2.41785830302537;4.06210982333213;12.2990191950827;9.94603051220813e-18;3.38016905045745e-15;30.0715445674533
EPSTI1;4.19499094021923;1.00018281193922;12.2924944199502;1.01695316765723e-17;3.38412353062268e-15;29.9922568363639
TNFAIP3;5.29737410676485;6.93603019779358;12.1265118108472;1.79312236612299e-17;5.84521297022092e-15;29.4943162307585
PNPT1;2.37906527818162;6.60743166013291;12.076884346717;2.12593915378605e-17;6.65835805949501e-15;29.3306597231182
TRIM22;5.60650010328422;4.19347051388064;12.0849411300711;2.067938455931e-17;6.60623619131718e-15;29.2455607534393
TRIM38;1.53950979762623;5.45717321862107;12.0504878280741;2.3277428943169e-17;7.1501994713315e-15;29.2425310762951
N4BP1;1.87889015834037;6.13249250661396;12.0262030901955;2.53047690572243e-17;7.53424446722557e-15;29.1602211683872
IL1A;5.18514113170549;4.29886620692724;12.0189665386747;2.59427437361426e-17;7.53424446722557e-15;29.1381402176804
NFKBIA;4.04244995833038;7.75229071690108;12.0199747753737;2.58528919651281e-17;7.53424446722557e-15;29.135327155696
CCNB1;-1.60321165155323;6.0684316572882;-11.9644049351927;3.1306893717395e-17;8.92973238121341e-15;28.9476610105021
TIPARP;3.06353691381023;6.6980055835849;11.9481783041902;3.31090462547127e-17;9.27808413730746e-15;28.8836730414039
TMEM97;-1.77172377316467;5.71280519367013;-11.9404169548602;3.40077515266333e-17;9.3656175023261e-15;28.8651745344364
GBP4;4.39443464041559;1.4907116900141;11.9275690820765;3.55499655324568e-17;9.62439999067683e-15;28.8162907566348
DDX60L;3.73321732755462;5.85219846301997;11.8952226292489;3.97532429887531e-17;1.05829758376559e-14;28.717561726143
LAMP3;3.60798487164757;2.25082827337503;11.7631997489764;6.28143764444766e-17;1.64480989335676e-14;28.2662207560178
IKZF3;3.13081142458041;-1.90364003361909;11.7272560011625;7.11734012578895e-17;1.8336334488585e-14;28.143410423202
SP140L;1.88489513960061;4.14973333342123;11.7133937164568;7.46899778212408e-17;1.89368732656933e-14;28.0941415260518
MX2;5.33529354536821;2.05445787031288;11.6225557253316;1.02510794662439e-16;2.55844519241115e-14;27.771206715257
RTP4;3.42764596953933;-0.378266973159544;11.5773738110659;1.20041588479533e-16;2.91830402876226e-14;27.6191550662462
XAF1;4.5315840126623;2.04112888258615;11.5760857329839;1.20583525886376e-16;2.91830402876226e-14;27.5237360388112
DTX3L;2.52627454080849;6.16391056056559;11.5406239871696;1.36514954173767e-16;3.25455725823519e-14;27.4898545788047
GBP1;4.06331403718679;4.37955953880128;11.5046642470003;1.54845620513073e-16;3.58456390790626e-14;27.3756996856702
JUN;2.40904575117426;7.68824267767712;11.5082354300534;1.52919069924108e-16;3.58456390790626e-14;27.3589577350071
RSAD2;5.07228568478793;2.56899449040948;11.3372407737488;2.7898501420259e-16;6.18920504424719e-14;26.7971122901205
IRF9;1.7914331935853;5.69251971461673;11.2928959024201;3.26253258918374e-16;7.13868945849751e-14;26.6342969313332
C1R;2.14533611925176;5.10277323988421;11.2616100567289;3.64396853639491e-16;7.86555532862648e-14;26.5215979313215
IFNL3;9.30733670590312;-1.24716334724938;11.4965339708113;1.59323630583251e-16;3.63553764472324e-14;26.3563097177598
LGALS9;2.43936915656148;2.79701565935378;11.2090026836241;4.38973105164059e-16;9.34895654504734e-14;26.3394909111426
TDRD7;2.09458602030017;5.40794393548283;11.1904975503969;4.68724174088496e-16;9.85122530620466e-14;26.2782830954299
ARRDC3;3.84500111982829;6.17925080877393;11.174987346021;4.95223909170198e-16;1.02730019495787e-13;26.2174714653439
NMI;1.94863380901849;4.86632088785832;11.1565491176116;5.28702474169442e-16;1.08268777178314e-13;26.1596066923997
IFNL2;10.4081932645933;-1.22132244827715;11.4745360458558;1.7210673528419e-16;3.87191673618925e-14;26.1456899181323
ADRB2;2.4427498281912;2.07235644257755;11.1303719593687;5.80197982096846e-16;1.17310156557379e-13;26.0704981530857
TNF;7.52215636188997;0.938317469687114;11.1064662484766;6.31640845683397e-16;1.26114990351261e-13;25.6001305685338
IFIH1;4.00009035509126;4.9657700739533;11.0000129778939;9.22840224706188e-16;1.81981813694222e-13;25.5943431276376
DHCR7;-1.92560225931218;7.14056565969697;-10.9877762277487;9.64032775646472e-16;1.87786530797574e-13;25.5400192489057
OASL;3.41002105042064;3.95599609355853;10.9726169433805;1.01764773837129e-15;1.9584201596391e-13;25.4926840133523
APOBEC3F;1.90268730808048;3.24575920910574;10.9269781837159;1.19794371042729e-15;2.27794701031608e-13;25.3628547418771
TXNIP;3.37735541399524;4.65073786655835;10.9129209554375;1.25972985784503e-15;2.36725470815984e-13;25.2598874969789
DENND3;1.62434410059333;5.15022677282374;10.8973733130269;1.33182169382497e-15;2.47362650179841e-13;25.2394884951049
THEMIS2;2.51467746606415;2.31558186804406;10.8647700807594;1.49681533332807e-15;2.6565145910277e-13;25.1433458480055
FDFT1;-1.54899378264132;8.07118491695048;-10.8736816912441;1.44976832745057e-15;2.63149426072363e-13;25.1243151160398
OAS1;2.98239803689557;6.37919056535938;10.8700743357956;1.46863012509674e-15;2.63577853799666e-13;25.1206603001363
IFNL1;8.01759139615413;-0.774873516569245;10.8854186314466;1.39007443928366e-15;2.55214471479057e-13;24.7604597578891
HERC5;3.37129913677711;4.10021044122101;10.7455941034751;2.29636992912018e-15;4.03076009646556e-13;24.7070308518184
PTDSS1;-1.47283024963277;6.62126114905768;-10.7369096123003;2.36927345973076e-15;4.06929085723435e-13;24.6795554741782
TNFSF10;2.9919617165055;3.788417205765;10.7390365014566;2.35120573736187e-15;4.06929085723435e-13;24.6632360711964
