logFC;AveExpr;t;P.Value;adj.P.Val;B
CFB;1.86177136435426;5.40604839952354;5.15452048676485;3.26659568959429e-06;0.00276576987643813;4.34475222894402
IFI6;2.64718359502314;5.93628900640423;5.13848769615958;3.46305625297456e-06;0.00276576987643813;4.3016924842823
IL6;2.99586868181657;2.13211674434916;5.14822315722011;3.34241795217597e-06;0.00276576987643813;4.25954217353477
SERPINA3;1.47038226364164;4.73323547903451;5.01773425382272;5.36656140997553e-06;0.00374562722768367;3.84323928494218
BCL2A1;2.38250143101299;3.33888737440226;5.0263909334966;5.20123321159521e-06;0.00374562722768367;3.81459106233578
HEPHL1;1.32100525226938;-0.378108627960376;4.84842098714681;9.86085837267952e-06;0.00656281211611708;3.34027472513333
PDGFB;1.02380731990397;3.99603786481577;4.83697273891929;1.02722986096624e-05;0.00656317702768552;3.30062688617861
CES1P1;3.13854074620527;-2.92588454233156;5.01635164748054;5.39344057075844e-06;0.00374562722768367;3.17218303469287
TNIP1;1.27010121029505;8.10483587394712;4.79073427465663;1.21120870890713e-05;0.00744101411822062;3.04829796683353
TNFAIP2;1.5449168081036;7.97918743871987;4.72368123338777;1.53652462337684e-05;0.00908996585525859;2.88232948546508
C1QTNF1;1.83441372974893;5.24779616131401;4.6747275481849;1.82655388044187e-05;0.0104198375472493;2.77182785924811
OAS1;1.71535811010181;6.37919056535938;4.49163291301237;3.46595984259881e-05;0.0184539255219436;2.18499690561826
PARP12;0.79076981155589;5.65050951561782;4.50059816680295;3.35972448073767e-05;0.0184539255219436;2.17299360395883
SPRR2E;3.49650584236053;-1.59735068257355;4.4564917091141;3.91482843693814e-05;0.019541110819754;1.93481848726596
SERPINB1;0.737461539291015;7.29065064903595;4.4405892887907;4.13610212998244e-05;0.019974288223992;1.90898221082633
TNFAIP3;1.61670963867677;6.93603019779358;4.43260720603577;4.25171100992756e-05;0.019974288223992;1.88086038908051
VNN3;2.54830548899827;-1.91731030015097;4.45804620153983;3.89382743702232e-05;0.019541110819754;1.78885108785022
SOD2;1.52669376980048;7.81442486887745;4.35463210601268;5.5596937541068e-05;0.0253728538098137;1.63169627312949
RHCG;1.35680585501844;4.2550362294891;4.28853793355068;6.96797045525599e-05;0.0309164978005011;1.44046188570128
PGLYRP4;2.03317443072013;-1.72677512289529;4.20275266856618;9.31981098870307e-05;0.0391750897164616;1.29901645019575
NANOS1;-1.54167902383518;1.97145662517723;-4.16645018495625;0.000105321312959955;0.0431358290233171;1.1428358001355
TNFSF14;1.96541498238167;-0.0828087177752409;4.1539915813375;0.000109823526693482;0.0438552797968746;1.08693005683324
IFI44L;2.61814961995667;1.88471542920709;4.115358410424;0.000125000469228897;0.0458656686506163;1.03548431018374
CCL20;3.15342711001642;4.43361667954313;4.11216081705721;0.000126343793941471;0.0458656686506163;0.99207093246186
MAP7D2;-1.41014728226825;2.22842882329078;-4.10153941049832;0.000130906835022064;0.0464661083512763;0.989302947857231
CRYM;-2.83007044628546;0.596145859801328;-4.26955243617209;7.43282450474527e-05;0.0320877042741341;0.988408296053096
RND1;1.48858579422626;4.49360540762306;3.99191286660348;0.000188330865857302;0.064004445113589;0.667092219898787
PTPRQ;-3.31481832077851;-2.83256852955587;-4.13662299127249;0.000116412122557624;0.0453524593564131;0.613219226718787
INHBA;1.83546028674799;2.64466833533499;4.02501706249807;0.00016882290924312;0.0586219202030511;0.613140003847641
MED4-AS1;2.82812697467519;-3.34302149099215;4.12618947247889;0.000120552148586709;0.0458471302232262;0.598039034565168
P2RY6;1.20112345750559;2.50809404754581;3.94866209002716;0.000217114580801817;0.0693594239829485;0.538164554466936
C1R;0.869512492284933;5.10277323988421;3.92209709586129;0.000236847302269924;0.0727531145991826;0.454241232026432
MMP9;2.24237508641734;0.707763694815752;3.93609583112395;0.000226243067435032;0.0708584414929365;0.445860385640136
SPRR2F;3.65039578923222;-2.88418755502824;3.9649415270292;0.000205815118567316;0.0678139301066641;0.14052695100922
LOC646903;-2.72486840865635;-0.0217983101659672;-3.9616819495914;0.00020803121362465;0.0678139301066641;0.107120171400032
HBEGF;1.30185755071011;4.08241233048076;3.83536699126822;0.000314017071388004;0.0928850866903813;0.0367035399345905
ADAM32;-1.82808505066985;-0.239465149461368;-3.79597140170211;0.000356571607725378;0.0969508800445586;-0.0404982524936042
S100A8;1.89065865392119;0.649696309873698;3.80927894810624;0.000341612855423769;0.0969508800445586;-0.0598921642706598
HMGN2P46;3.20979538072182;-1.39953824359905;3.80417506142615;0.000347277417213936;0.0969508800445586;-0.0745271313354259
OAS3;1.32968261692167;7.41234698927758;3.78940674841743;0.000364180354515339;0.0969508800445586;-0.099965995389665
IRF7;1.54584876373667;4.37002502482096;3.70455207933635;0.000477671194867347;0.121108603105018;-0.14910747374063
C2orf88;-2.5347419299519;-0.355582710969001;-3.84873498378998;0.000300719167879706;0.0906299484630668;-0.164696157475389
KRT15;-0.927216628217582;4.08232866638487;-3.79157093235537;0.00036165491318509;0.0969508800445586;-0.188420619361299
KYNU;0.860305198650002;7.62008872890517;3.76447618463546;0.000394519596758469;0.103305926541361;-0.192159577159607
HEY2;-3.30224969053212;-2.26765561676179;-3.82055990146671;0.000329405610812953;0.0956653785730055;-0.235675955328005
NID1;-1.26324479596982;2.72292779109948;-3.64438412034463;0.00057789094320917;0.139858364180001;-0.332728515137694
PLA2G4E;3.75967416344651;-1.80955678387833;3.73356369667499;0.000435511742336316;0.112200468715129;-0.365311901689855
MIR1282;1.65136718003037;-3.16330547269801;3.61735633036046;0.000629182085956434;0.144009233668962;-0.409617124218979
CXCL5;3.65024388062951;7.22431077101577;3.60740618380248;0.000649136970147455;0.144009233668962;-0.415619451451876
RBM20;-1.56955199938967;1.3131584666958;-3.61535918763851;0.000633139766419575;0.144009233668962;-0.422030147306272
BPGM;0.963428039106383;5.30210727531446;3.65413839174703;0.000560380586939282;0.137707063310479;-0.494711359156395
LRRC34;-2.95739708913662;-2.19012094221864;-3.69102510550875;0.000498638185998967;0.124449183515023;-0.520189489561442
EDN1;1.07655651194527;6.33228624232022;3.61373194558157;0.000636381981030831;0.144009233668962;-0.520363970476255
XDH;0.740924316032662;3.83956555073474;3.63476401326643;0.000595671632313644;0.142009895267848;-0.543784416314032
MX2;2.44383435879143;2.05445787031288;3.5596813658714;0.000753537835697447;0.151614230398523;-0.544592399131562
THBD;-0.968685901492112;4.84533348453406;-3.60139518441152;0.000661483048061647;0.144737927762859;-0.601088200291244
DDIT4L;2.6048290126819;0.355262916373554;3.57851997358665;0.000710546242618688;0.149509087939815;-0.658780663851311
RAB15;-0.722910314265322;4.72242412886892;-3.55340763147732;0.000768397243276179;0.151614230398523;-0.666858746441314
CXCL2;1.42004616965106;5.84158763755381;3.57814954152157;0.000711368602230386;0.149509087939815;-0.686672962240059
ANXA3;0.45606934273798;7.66121371911526;3.61133697668846;0.000641182697945511;0.144009233668962;-0.695753857916977
OAS2;1.2804852298373;4.10007419134993;3.56962787141013;0.000730539149635384;0.151544179702935;-0.722089310950611
FCGBP;-2.35248584153742;2.02782523454092;-3.58619426492689;0.000693711817120923;0.149509087939815;-0.756667097424985
GPR141;2.46499288779868;-0.955160683663154;3.51140849387325;0.000875299339717283;0.164484192391814;-0.768176102399306
LRRC69;-2.50931036226366;-0.926664628506827;-3.55457722116461;0.000765606055681156;0.151614230398523;-0.784382107625573
EFNA1;0.732629032053798;6.28133112604734;3.5492754526619;0.000778336373422583;0.151614230398523;-0.824572970726776
NFKB2;0.971071692522815;7.14290908422922;3.5404500542584;0.000799975680351749;0.153951946292271;-0.843369637685305
ANXA13;-2.41847755768185;1.39795004764999;-3.55313064366092;0.000769059683864277;0.151614230398523;-0.891989087477132
IFITM3;0.785850805140313;5.52975828264831;3.53005024196271;0.000826210694947443;0.157107897980899;-0.899698059771595
C17orf67;1.26018119507259;2.36138135462291;3.40374620765627;0.00121767035720247;0.217101227057314;-0.983638845303326
SPRR2A;1.70361724232625;-0.580375690842831;3.45656347289256;0.00103631548283722;0.192477525666964;-1.01248520334965
IL32;1.2349713106901;5.34275478970715;3.4509883818423;0.00105417355035061;0.193543840456901;-1.07715219102807
VTCN1;-1.07385381862832;0.0440155958725755;-3.40224014150757;0.00122325865117124;0.217101227057314;-1.0856190282267
ANXA2P3;-2.22982671482829;-2.0221927132445;-3.35177916897517;0.00142517567856399;0.239624538038975;-1.10754639853924
BIRC3;1.67398474224805;6.14874943733746;3.38620308260538;0.00128429124040979;0.222978086772452;-1.14647794597941
ANKAR;-1.661507017931;0.779426773869719;-3.3205891855474;0.00156533755637979;0.250854774669472;-1.20231692668254
IVL;1.03671977606116;-0.00785766608110165;3.42156549069243;0.00115336197114117;0.209348304148159;-1.20698745684385
OTUB2;0.642560898455431;3.52596545955587;3.39172548273253;0.00126295602378115;0.221683478767651;-1.21810299737964
LTB;1.55172527356196;1.08419000471743;3.29346711120945;0.00169771033488454;0.251088214621396;-1.23764285146292
ICAM2;2.99337622897206;-2.81470253366553;3.37329175633232;0.00133551243740287;0.22937785121114;-1.26098841628225
IFITM1;1.64456498265219;3.13980197647217;3.29811198793068;0.00167431479036627;0.251088214621396;-1.29436496680395
SEC14L4;1.58844666331325;1.76045223292937;3.29572168379759;0.00168631612002575;0.251088214621396;-1.30118025436222
PRELID2;0.665536209703841;2.93206841281141;3.30202030294385;0.00165486530082209;0.251088214621396;-1.31135589301829
IRAK2;1.61151173428613;5.57258025053301;3.30840791566043;0.00162353623332399;0.251088214621396;-1.32393260373666
SSR4P1;-2.49078918825443;-0.633391422225702;-3.31511225306088;0.00159125664103268;0.251088214621396;-1.35057165617244
DTX2;0.783926848566736;5.4358167368742;3.36069048957252;0.0013873638771405;0.235748544782609;-1.3563247374925
SNORD42A;2.8270709515801;-1.88291352724963;3.32586993240159;0.00154072499734907;0.250854774669472;-1.3719966167846
IKBKE;0.715672047955634;4.4010521764721;3.31949309918177;0.00157049254785871;0.250854774669472;-1.38053827949909
SOCS3;1.05235498787288;5.38318226196666;3.28740599306196;0.00172870346454987;0.253326426048212;-1.39749175130351
CXCL16;0.525234326019754;5.35989685477984;3.34159689232925;0.00146957312296333;0.244515536386388;-1.39894951174786
C1S;0.836929234838106;5.71035193828232;3.28128650753414;0.00176053612601108;0.255645850370682;-1.40026569248996
TAS1R3;-2.56285393734549;-1.14033436453411;-3.30245936335087;0.00165269371981731;0.251088214621396;-1.408558828376
S100A7;4.09657740839117;-1.82617847428773;3.24967064661292;0.00193399431999564;0.273377798878676;-1.42203991427177
CTSH;-0.52854567612054;4.64685671207478;-3.33692745533451;0.00149036761281009;0.245418988447583;-1.42529709477972
PDZK1IP1;2.46938437531061;3.93876965839126;3.24101680066769;0.00198420861183562;0.27801547506009;-1.4295750416482
TMEM60;-0.724706190801308;4.02741916713341;-3.25059290353546;0.00192871405486854;0.273377798878676;-1.44607221799731
ZNF488;-1.11215082728014;1.86618211617403;-3.20987289532696;0.00217526752128631;0.293803733222556;-1.46678214611215
CYP4F3;-1.02081468361946;2.8083073705189;-3.20775664904662;0.00218885896534679;0.293803733222556;-1.49827653356528
CCDC138;-1.10479142197767;2.46352664181896;-3.17158611125194;0.00243387062536984;0.303654562384666;-1.54153497740304
FAM167A;1.1433344492367;3.07580085696638;3.17849913662894;0.002385137251505;0.303654562384666;-1.54388917192411
DUSP4;0.651654126871039;7.80056912147577;3.29357750765887;0.00169715072286604;0.251088214621396;-1.54657767350093
BCL3;0.744656554077388;5.78137621365155;3.25005116216884;0.00193181407813354;0.273377798878676;-1.57375641363131
MRGPRX3;1.83026100133057;-1.31472910429022;3.15597183063215;0.00254740570710231;0.303654562384666;-1.57638786180186
DNAH7;-1.9920070246302;0.184303764850234;-3.17676420178517;0.00239728078900144;0.303654562384666;-1.58432174029987
LOC100294145;-0.646923292817321;3.98625773860608;-3.18758812233923;0.00232245835715601;0.301712380804419;-1.59886438536392
FSCN3;-2.94363997356028;-3.25759234082702;-3.21296681659235;0.00215553982175415;0.293803733222556;-1.61450828646744
B3GALT5;2.40326061880127;-0.431635326799066;3.20377128766353;0.00221467176958311;0.294791268129591;-1.61692874252953
ASPRV1;-2.16868313557672;-0.755023270477608;-3.17232804762209;0.00242859589712063;0.303654562384666;-1.62362393206964
RASGRF1;-2.10100712610581;-1.3030537268513;-3.15796239531465;0.00253266028193507;0.303654562384666;-1.64835289755107
IGSF23;-2.49009385649314;-2.05750371700354;-3.18745948555833;0.00232333455449468;0.301712380804419;-1.66149611451178
CXCL3;2.33101006815843;5.07161274550116;3.15755253097997;0.002535689853045;0.303654562384666;-1.66732439716711
TRIML2;1.41738379604059;2.86940826309539;3.12614476776362;0.00277822750155187;0.321569767262956;-1.67039804876869
SNORD32A;-2.1184329305617;-0.0122694588697908;-3.15740564688414;0.00253677639551858;0.303654562384666;-1.67447045981974
DNAH17;2.39813309526666;1.33535099131919;3.178217158554;0.0023871069940987;0.303654562384666;-1.67566057057691
ADRB2;0.703915937593115;2.07235644257755;3.22335093504624;0.00209055125877044;0.290368480489915;-1.68720515232882
C10orf55;1.03150186843823;0.550266595012823;3.14505308944091;0.00262973122962175;0.308858065667266;-1.69668315295243
DNAJC12;1.93504310463937;2.08480052175532;3.15071951905292;0.00258670069913333;0.306054594572271;-1.70001645216616
SAMD4A;0.501922879001482;5.07973028750957;3.21486101598483;0.0021435450741252;0.293803733222556;-1.72502124783703
SBNO2;0.545148648310719;6.44752591804052;3.20065618589793;0.00223504700994698;0.295044676775893;-1.75478703330514
KCNMA1;-0.451591780746766;4.66981881469274;-3.16043810321763;0.00251443284258803;0.303654562384666;-1.83546132938979
HELZ2;1.04177910660707;6.07758980091184;3.11879477681057;0.00283804384907475;0.324060742391781;-1.84395766500738
CXCL6;1.7487985132799;-0.0852030984665523;3.04194207190703;0.00353999728317476;0.382056598676692;-1.85100241472339
