logFC;AveExpr;t;P.Value;adj.P.Val;B
FEN1;-2.16825102721208;5.73644334340452;-11.0400998173688;7.99930721808454e-16;7.51605495261555e-13;25.7589952567464
SLFN5;2.50513659181854;6.15387553399532;10.9878686833355;9.63714684734687e-16;8.5518970329262e-13;25.5718215566333
SLC6A15;2.49367342961872;2.88437593834513;10.9102247416627;1.27194332786403e-15;1.06930267241959e-12;25.2125629820985
C1R;1.52883030073719;5.10277323988421;10.7272513937725;2.45309819961855e-15;1.95916687712535e-12;24.6573630496183
ICAM1;2.76172091391681;5.9041402208699;10.7102306920723;2.60817568873704e-15;1.98382810839032e-12;24.596981770735
FASN;-2.284771016726;8.45835662418156;-10.6013875376561;3.86300641905412e-15;2.80471825143416e-12;24.2067537926667
LMNB2;-1.62760778392085;6.89575076294729;-10.5637466473211;4.42648329662241e-15;3.07409642160651e-12;24.0751125878429
ALDH1L2;3.14650159346549;3.06894593645516;10.4315208992157;7.15064564100358e-15;4.3614466538227e-12;23.5940535988839
DOK4;-1.67028055195726;5.79309457108694;-10.4231200684713;7.37238212315863e-15;4.3614466538227e-12;23.5748289625292
CCBE1;2.48465350483789;2.61319818278553;10.4451805833513;6.80436880426789e-15;4.35425279185252e-12;23.569783447509
EPB41L4A-AS1;1.8274239677605;4.26930940400787;10.3916222266987;8.26732752707494e-15;4.71621509249886e-12;23.4604428476984
SRRT;-1.44339034131006;6.8840612706321;-10.3593037451243;9.29971107956504e-15;5.12221672668594e-12;23.3464062453529
EIF1;1.78310398203511;9.14146544342071;10.3318952040506;1.02766093024171e-14;5.47160934625025e-12;23.2314100553557
CLDN2;-2.15733738185831;3.13835134250333;-10.2857230854592;1.21621576303091e-14;6.26664980093314e-12;23.0795233022098
ADM2;4.61680869921177;0.926416900062084;10.4447500540033;6.81502033408333e-15;4.35425279185252e-12;23.0142390577003
SAMD4A;1.65723781553775;5.07973028750957;10.2479771741293;1.39603582026138e-14;6.96840004907346e-12;22.9473166832433
INSL4;-3.25010349176865;1.69174972226821;-10.2257317600027;1.51433602088682e-14;7.32984523079553e-12;22.8430238232583
MCM4;-1.89059376707388;6.4067509196385;-10.0670028810284;2.70998925211831e-14;1.24747690464528e-11;22.289269942009
LIG1;-1.54036026868051;5.11091025759393;-10.0646556079492;2.73346845693263e-14;1.24747690464528e-11;22.2870543823575
PDGFB;1.88471778063923;3.99603786481577;10.0483068517366;2.90278962801983e-14;1.28795163134335e-11;22.2295597839722
MCM5;-2.4147569907947;5.40248599475864;-9.94002142886386;4.32524510170653e-14;1.86722000025833e-11;21.8351606861562
