logFC;AveExpr;t;P.Value;adj.P.Val;B
CD300LB;6.07735034914103;-3.28461894426097;8.80878363010477;2.98516861363838e-12;9.53641965312918e-10;16.9383936926294
SNHG10;1.96499286843446;2.7935421972455;8.55990432444647;7.68746384700991e-12;2.32557685482357e-09;16.7700375823742
FOSB;4.03946117575164;2.55853442804044;8.55891482481969;7.71649491677513e-12;2.32557685482357e-09;16.7278036766148
NFKBIZ;3.50634717887019;6.03459995923235;8.51907618198643;8.98152907428054e-12;2.65670303524969e-09;16.617326374238
LINC00472;2.30747154585217;1.71267030695225;8.50320102822662;9.54189864306723e-12;2.77114085501296e-09;16.5668154249576
RAP2B;1.52436768316584;6.18644755971194;8.4526117345841;1.15728687485685e-11;3.24481794436081e-09;16.3279978108212
PCF11;2.20114329544464;6.01768697641232;8.45246832370212;1.1579203833254e-11;3.24481794436081e-09;16.2981055806426
EPM2AIP1;2.04578325520329;5.23649902019158;8.41969377076255;1.31222788461653e-11;3.61383034499652e-09;16.1580686942592
ZNF436;2.23787752768287;4.38396876714033;8.38903814647542;1.47520469311244e-11;3.93550922507862e-09;16.1197727250182
FGB;2.39026056119479;1.18044263425522;8.38848754146613;1.47831060855642e-11;3.93550922507862e-09;16.0753657933999
ARRDC3;3.43578410071913;6.17925080877393;8.31911350500436;1.92713170101183e-11;5.04624174758394e-09;15.8376445169135
FGA;2.2977877202311;1.68424774785506;8.29035791486599;2.15116310558849e-11;5.54202069122015e-09;15.6997002958048
FOS;2.97662090558227;5.04714097425091;8.23169662450109;2.69256770172941e-11;6.61741615334411e-09;15.5546768316707
PRR14;2.04828849637988;5.17434690947153;8.23616448480257;2.64690563504244e-11;6.61741615334411e-09;15.5359219427283
ICAM5;3.74220078770144;1.01886777254013;8.23166734543109;2.69286952962729e-11;6.61741615334411e-09;15.4454171942938
MIR3191;4.44662708967359;-2.65914584557453;8.18081954170274;3.27178294286883e-11;7.91821044643089e-09;15.1779396041611
FST;2.63056753061381;4.48071949310098;8.06730927527511;5.05551042316336e-11;1.17031402882882e-08;14.9291814785082
C11orf96;5.86186360960818;-0.229214303209967;8.12782456058927;4.00850722524173e-11;9.55640088190839e-09;14.7994495547849
CLK1;2.37323297736952;6.32948124542255;8.03940956532067;5.62668445958405e-11;1.28392901247051e-08;14.7470527127562
ANXA1;-1.21353931538904;10.3714074501155;-8.06809704494542;5.04025613657187e-11;1.17031402882882e-08;14.7454450785137
DBP;2.90405404766494;2.18774526459058;7.92497984832356;8.73094770152352e-11;1.96421729065402e-08;14.3712550556202
SERTAD2;2.10685352666978;5.31840391156845;7.86540226034236;1.09771080655246e-10;2.43524093236979e-08;14.1263206752098
CPM;-2.11554681527852;3.95791535605802;-7.83840493160481;1.21775358027792e-10;2.66454492298346e-08;14.0933231876019
MXD1;1.55052572150385;5.27726193519663;7.82573885480397;1.2785230774368e-10;2.72291321545306e-08;13.9842844619644
NR4A1;3.03000813442307;4.03466116388504;7.82711002992222;1.27180038442622e-10;2.72291321545306e-08;13.9789929533618
ZBTB43;2.15574262610195;4.90026633410205;7.81688776293661;1.3227839566822e-10;2.78010896580063e-08;13.9371062401943
HIST1H2AK;4.41275885401931;-1.06675669565888;7.67293996274078;2.30142063478764e-10;4.76472827486913e-08;13.4325013744164
ZNF184;2.77997908986082;2.9713512758605;7.67009817166062;2.32673139322477e-10;4.76472827486913e-08;13.4170997311656
TNFAIP3;3.37246780498835;6.93603019779358;7.66051796679174;2.41413060845962e-10;4.88112762138297e-08;13.3343025234804
OGDH;-1.30639230476211;6.87739294312784;-7.63092561013631;2.70541092727695e-10;5.40169109267433e-08;13.2350754847186
ICAM1;3.49820487427532;5.9041402208699;7.59748360842847;3.07716119895023e-10;5.92186696757012e-08;13.1918326519187
AHCY;-1.07269168807944;8.10614183535965;-7.61214789015509;2.90823583571689e-10;5.73496925974146e-08;13.0840113498714
PLEKHG2;1.52770195694434;6.15524484684998;7.59760646490411;3.07570591991354e-10;5.92186696757012e-08;13.0686564709225
HCFC2;1.99853634645407;3.46544251609853;7.53250047808798;3.95210707631238e-10;7.51511980118306e-08;12.9534379424776
ZBTB10;3.07151386934333;3.73080433405523;7.52888555428368;4.00751457750682e-10;7.53082709959016e-08;12.8946927532461
SNORA48;3.56236974055669;-0.578067934309665;7.52012213054066;4.14508388304469e-10;7.69877033300847e-08;12.7950998778789
ZNF121;2.34443975461742;2.94096680088299;7.43735747843254;5.7014851739749e-10;1.04677957107932e-07;12.5993860037424
NR1D1;4.19508230702284;4.59243869559587;7.427556449392;5.9208705297278e-10;1.07470528376525e-07;12.5270668501343
C1orf116;-1.71721029241237;5.57997667207083;-7.38031282787765;7.10279970839513e-10;1.23837242711908e-07;12.3876333213222
ZBTB6;2.50501336269085;3.81306086280964;7.37667153838572;7.20314299595293e-10;1.23837242711908e-07;12.3430481502039
WRAP53;2.04296254668231;4.63868508371176;7.37641711388253;7.21020695686939e-10;1.23837242711908e-07;12.3332871098979
FRS2;2.15552136126499;5.0428770534558;7.38256311197977;7.04148870906401e-10;1.23837242711908e-07;12.2985563402819
EID2B;1.57306230706362;2.25395206497141;7.36413433194073;7.5596022447152e-10;1.28456943249825e-07;12.2952970137703
RBM48;1.60997498986874;3.59456947285288;7.32674128457512;8.73101351024595e-10;1.43640621788525e-07;12.1632123381686
NR4A3;4.56518771663881;0.491637331124369;7.35817798608298;7.73508333711038e-10;1.30055248572278e-07;12.121669335274
PPM1E;5.11940121220679;-1.40690553197944;7.386224571742;6.94285832056985e-10;1.23837242711908e-07;12.0929662392465
CEP85L;2.43043913454129;2.9194012185093;7.30067636108337;9.65331031999465e-10;1.55749823981085e-07;12.0714844951754
VIM;-1.46156127960753;9.62667851027768;-7.3287872826878;8.66246123422462e-10;1.43640621788525e-07;11.9776496851468
ACAN;5.31690341706665;-2.22882143966612;7.32431945209094;8.81285978543505e-10;1.43640621788525e-07;11.8987483126212
IRF1;2.2581525132392;6.04523257877729;7.24139563214781;1.21300127063621e-09;1.89953620547766e-07;11.7650532588569
LBP;4.89734116712065;-1.56819271457959;7.24282240511088;1.20635227576458e-09;1.89953620547766e-07;11.758235015263
ZC3H12A;2.28852760517025;6.3597661536391;7.22145063509296;1.30987624796606e-09;2.03132556395747e-07;11.6883246207383
EEF1A1;-1.02261022568151;12.0321698568418;-7.27108825134762;1.08188748919023e-09;1.72809888648355e-07;11.6744480533746
ZNF830;2.181145667099;4.51849731312868;7.20406438863066;1.40061029241832e-09;2.13502622833108e-07;11.66701959576
CDKN1B;1.81530324667348;5.28695202940318;7.20353316920771;1.40347933371792e-09;2.13502622833108e-07;11.6030457613328
ZNF79;1.88302018605374;3.3555042546876;7.17478007258431;1.56785924702506e-09;2.3625863917671e-07;11.5639631414367
IER3;2.6104005884134;8.23079878620292;7.16371395412121;1.63613294593686e-09;2.44242537807939e-07;11.4019076142734
SLC12A7;1.76036617662946;5.87302178350101;7.13840804721024;1.80363310480885e-09;2.66753996139924e-07;11.3409899963389
KLF10;2.34089799242713;6.87520882155173;7.1076393232661;2.03053505453682e-09;2.93038210167407e-07;11.193689167847
TMBIM6;-1.15603212105308;9.50338330690147;-7.10689176814555;2.03638898945609e-09;2.93038210167407e-07;11.1186521277096
ZNF337;0.997640822806773;5.28195129587473;7.06510871224714;2.39185249248643e-09;3.38097874889255e-07;11.0631123701783
ARHGAP40;5.04523205709126;-0.265371329533406;7.10741719929806;2.03227269947745e-09;2.93038210167407e-07;10.9527985472186
CCL2;3.09787968941425;4.05688890469395;6.98706365549421;3.23004785215887e-09;4.44772020194255e-07;10.8981865280889
DLX2;5.62080549635133;-1.08717583227217;7.02593023958564;2.78124690014641e-09;3.89691725754724e-07;10.7756300011379
TNK1;4.30444526780072;2.4516708376386;7.06953978198813;2.35139160626805e-09;3.35346233276068e-07;10.7720332808377
RBPJ;1.78982954293027;5.63823228444346;6.96291096626516;3.54466009176802e-09;4.79820810557717e-07;10.7674264420928
RSRC2;1.93091501690751;6.66024652522092;6.98748993822723;3.22475307704397e-09;4.44772020194255e-07;10.765477109202
MICU1;-0.788561965270119;6.28798949522378;-6.98063174073089;3.31099896048356e-09;4.52022105947042e-07;10.7530857818695
AEBP2;1.76187259204142;4.9123845524783;6.95916959546266;3.59605929711952e-09;4.82687858427648e-07;10.7232870125688
ARC;3.18497276971342;-0.269460733250839;6.93113603372601;4.00561090519966e-09;5.33180191572951e-07;10.7187625556192
ZNF805;1.90089351917641;2.89087632541026;6.92487129389084;4.10331949158259e-09;5.41672084620237e-07;10.697689539915
SOCS3;2.2804146406199;5.38318226196666;6.8849433775865;4.7844411908129e-09;6.26408845416839e-07;10.4618401855428
TRAFD1;-1.29818324731112;5.7714549152381;-6.86795550218324;5.10741540208377e-09;6.55344772741716e-07;10.4263174034409
CXCL1;5.79924741824686;6.99205300870061;6.85187771740166;5.43309585155572e-09;6.83329449109445e-07;10.4235721068669
FOXC1;1.95460531236751;4.14144987242394;6.85574519195864;5.35290990485825e-09;6.78587538970641e-07;10.3788496051236
MED26;1.6509927620095;3.61782801912853;6.81252080790034;6.3204403022222e-09;7.8260769726663e-07;10.2611265992211
GSR;-0.76141747917853;7.19298857777686;-6.86688226445019;5.12853544060067e-09;6.55344772741716e-07;10.2463407683882
MYH9;-1.47201187189017;10.0867551094654;-6.87747351752773;4.92386902148363e-09;6.39422438050066e-07;10.2401884864306
HRH3;4.9377925251706;-3.56719814413045;6.84625866563128;5.55173797048757e-09;6.92796176582796e-07;10.0567836979702
PER3;2.510307002699;2.79371431493121;6.74468258551938;8.20220031723863e-09;9.92528376267065e-07;10.0328384704117
PPP1R10;1.30286048767829;6.83636828893834;6.80045112918647;6.62049750984631e-09;8.13455436344423e-07;10.0061715799639
NTNG2;3.86567748260123;-0.0308245344683584;6.73471390291417;8.52226904863307e-09;1.01204350273207e-06;9.92475752341977
ZNF317;0.994987549155637;5.40158841784489;6.74752982996397;8.11300314312305e-09;9.89229001565683e-07;9.90136353643937
DCAF4L1;3.57056898370592;-0.255230087353465;6.74084964265603;8.32382295470814e-09;9.99672361319948e-07;9.89988974759395
ZC3H4;1.6933241443852;5.60630288867285;6.73020819750987;8.67099263260737e-09;1.01839533323998e-06;9.82283393047782
ERF;1.30279073742258;6.73621609764399;6.7337597093211;8.55355117190444e-09;1.01204350273207e-06;9.76378917798665
HIST3H2A;1.98759324565969;2.24343685441719;6.65803249654291;1.14385300626952e-08;1.27767580903098e-06;9.70808908630615
CXCL3;5.84723716177002;5.07161274550116;6.65190834762668;1.17104265064325e-08;1.29000443163618e-06;9.68577737340994
UFM1;1.51246333284633;6.30306115240319;6.67938722177869;1.05387217759599e-08;1.20723375432519e-06;9.66321348213989
HIST3H2BB;5.79934502102846;-1.9881466241496;6.70472839468602;9.56204014442494e-09;1.11485012574379e-06;9.65799377756601
TLK2;0.969285522857404;5.69585984497325;6.67616173209964;1.06699662004419e-08;1.20873312141601e-06;9.63622498698449
MAP3K8;1.93409322078998;4.83010128075797;6.67080242389859;1.08916466630447e-08;1.2251568461184e-06;9.59014652492371
C5orf51;2.20121958837703;5.21096093198952;6.65235793333316;1.16902488591211e-08;1.29000443163618e-06;9.56726066026336
TCERG1L;4.37025204635714;-3.42208381286033;6.680575931719;1.04907602448625e-08;1.20723375432519e-06;9.54501435320194
ITGA3;-0.953862245674909;9.49279028331548;-6.67834011312081;1.058115104273e-08;1.20723375432519e-06;9.49500700715369
TPCN1;-1.14949378873198;5.92182036349555;-6.6264964655925;1.2909172157949e-08;1.41231648547206e-06;9.40490955367678
POU2F2;1.88172200487963;2.50797531919596;6.58326180691458;1.52361166047092e-08;1.64436817923663e-06;9.39931159198818
COL4A2;-1.75657675497438;6.99548438451535;-6.60961246005066;1.37724694845503e-08;1.49651466038587e-06;9.35403633285441
ZNF845;2.09472582252251;3.54727806176665;6.50917011184525;2.02352833495984e-08;2.0988193567736e-06;9.1406311733604
ZNF654;2.16395132150706;4.22393054125712;6.53368956255187;1.84222588208689e-08;1.9487333784486e-06;9.09398542208136
PRKXP1;3.23287159615163;1.88375002113606;6.48303481904619;2.23637016864584e-08;2.28984235280641e-06;9.07044871208327
ATF3;2.49525424707979;4.80720748718342;6.52029109949312;1.93919470718613e-08;2.0244939253519e-06;9.06788493179431
FDPS;-1.4057544056641;7.64350512874289;-6.53823570699238;1.81043354783289e-08;1.92787033730232e-06;9.04033596374427
CHD2;1.68297910301294;7.41469909323443;6.54511098289906;1.7633879643695e-08;1.89037556744121e-06;9.02048760488635
MDH1;-0.979185681265098;7.31005518427286;-6.53129646437077;1.85918413816622e-08;1.95373343677165e-06;8.99258223517015
C1S;1.52646662592436;5.71035193828232;6.50233121544576;2.07719260460281e-08;2.14058048214972e-06;8.97343622637712
NECAP1;1.80786601884603;5.06352073046305;6.45090842521403;2.52875943528041e-08;2.5727308573079e-06;8.88248848225247
SLC16A2;-1.5917552368012;5.28152843038335;-6.44034649402143;2.63296290877693e-08;2.60831027342796e-06;8.85755229883754
DPP4;-3.86211780239367;1.8809572019362;-6.44395525705544;2.5968870906858e-08;2.60831027342796e-06;8.84046330661661
IKZF5;1.86610009523658;3.94355905727037;6.44225712443165;2.61380116775382e-08;2.60831027342796e-06;8.83488042827064
ZCCHC10;1.55245484803307;4.25431193503089;6.43911592731696;2.64537822760489e-08;2.60831027342796e-06;8.82218788250351
FOXN2;2.08129465294644;4.84016958884767;6.44656266408633;2.57112806978797e-08;2.5992802948559e-06;8.79208196518591
MITD1;1.60213528959126;4.8658767546671;6.40721721889856;2.98834514434866e-08;2.89289921155643e-06;8.66326157507773
ZNF555;2.33131161840297;2.34902025797721;6.36905910542086;3.45716144077966e-08;3.24104497418372e-06;8.65956404464068
ACHE;3.05754298599278;0.956050500406792;6.36690086438375;3.48576311834735e-08;3.24104497418372e-06;8.60986258029162
SPATS2L;-1.00992203725036;7.55986065926895;-6.4216071129393;2.82846945745958e-08;2.7717265425768e-06;8.60452533192023
ZNF292;2.08813149046625;4.91951287558923;6.39658810148096;3.11218177667867e-08;2.99463129631857e-06;8.57297628504559
CCDC71L;1.41615542590207;4.58942398698848;6.35111527398158;3.70223905119748e-08;3.39861289452743e-06;8.55603113350594
CTTN;-0.896764058077611;8.36409631485816;-6.41797229453526;2.86803139217717e-08;2.7933576480028e-06;8.53502255278201
YTHDF2;0.810115611046831;6.33589487457106;6.38576166586197;3.24356602593202e-08;3.08389762691739e-06;8.52347130376989
MIER1;1.65580165899608;5.38850468481299;6.38203933936581;3.29000130138588e-08;3.10953791639271e-06;8.5181180426106
CELF1;1.1759811683492;7.09614714505057;6.38722866932424;3.22544508307061e-08;3.08389762691739e-06;8.51138467736836
ZBTB21;2.01716129913936;4.75366088051287;6.36658169770912;3.49001274375258e-08;3.24104497418372e-06;8.48852467924255
IGFBP1;2.12660648995995;2.3386845516185;6.34710437529684;3.75934052026664e-08;3.43131120744108e-06;8.44991179323024
EFNB1;1.49689763039184;5.53526165963293;6.33469582305255;3.94160105136734e-08;3.55701658720285e-06;8.44415346526867
FDFT1;-1.06826072636977;8.07118491695048;-6.35966948761536;3.58332196866512e-08;3.30846253210913e-06;8.37162195297033
ZNF615;2.06518865642657;2.44424877674615;6.2815732791317;4.82652873186305e-08;4.30693538737701e-06;8.34105607798167
PPP1R18;1.40592934051013;6.74639737164856;6.33572027867463;3.92622643635671e-08;3.55701658720285e-06;8.32526091159952
ZFP37;2.1298805955598;1.37625615021823;6.27022718997814;5.03974719992977e-08;4.4230704409054e-06;8.29847343159156
